"","date","dc","wday","month","year","week","summer"
"200",2016-07-18,1,"Mon","7",2016,"29","summer"
"201",2016-07-19,0,"Tue","7",2016,"29","summer"
"202",2016-07-20,0,"Wed","7",2016,"29","summer"
"203",2016-07-21,1,"Thu","7",2016,"29","summer"
"204",2016-07-22,1,"Fri","7",2016,"30","summer"
"205",2016-07-23,0,"Sat","7",2016,"30","summer"
"206",2016-07-24,0,"Sun","7",2016,"30","summer"
"207",2016-07-25,0,"Mon","7",2016,"30","summer"
"208",2016-07-26,0,"Tue","7",2016,"30","summer"
"209",2016-07-27,1,"Wed","7",2016,"30","summer"
"210",2016-07-28,1,"Thu","7",2016,"30","summer"
"211",2016-07-29,2,"Fri","7",2016,"31","summer"
"212",2016-07-30,0,"Sat","7",2016,"31","summer"
"213",2016-07-31,0,"Sun","7",2016,"31","summer"
"214",2016-08-01,0,"Mon","8",2016,"31","summer"
"215",2016-08-02,1,"Tue","8",2016,"31","summer"
"216",2016-08-03,1,"Wed","8",2016,"31","summer"
"217",2016-08-04,1,"Thu","8",2016,"31","summer"
"218",2016-08-05,2,"Fri","8",2016,"32","summer"
"219",2016-08-06,0,"Sat","8",2016,"32","summer"
"220",2016-08-07,0,"Sun","8",2016,"32","summer"
"221",2016-08-08,1,"Mon","8",2016,"32","summer"
"222",2016-08-09,0,"Tue","8",2016,"32","summer"
"223",2016-08-10,0,"Wed","8",2016,"32","summer"
"224",2016-08-11,1,"Thu","8",2016,"32","summer"
"225",2016-08-12,0,"Fri","8",2016,"33","summer"
"226",2016-08-13,1,"Sat","8",2016,"33","summer"
"227",2016-08-14,0,"Sun","8",2016,"33","summer"
"228",2016-08-15,1,"Mon","8",2016,"33","summer"
"229",2016-08-16,0,"Tue","8",2016,"33","summer"
"230",2016-08-17,1,"Wed","8",2016,"33","summer"
"231",2016-08-18,0,"Thu","8",2016,"33","summer"
"232",2016-08-19,1,"Fri","8",2016,"34","summer"
"233",2016-08-20,0,"Sat","8",2016,"34","summer"
"234",2016-08-21,0,"Sun","8",2016,"34","summer"
"235",2016-08-22,1,"Mon","8",2016,"34","summer"
"236",2016-08-23,0,"Tue","8",2016,"34","summer"
"237",2016-08-24,0,"Wed","8",2016,"34","summer"
"238",2016-08-25,0,"Thu","8",2016,"34","summer"
"239",2016-08-26,1,"Fri","8",2016,"35","summer"
"240",2016-08-27,0,"Sat","8",2016,"35","summer"
"241",2016-08-28,0,"Sun","8",2016,"35","summer"
"242",2016-08-29,0,"Mon","8",2016,"35","summer"
"243",2016-08-30,0,"Tue","8",2016,"35","summer"
"244",2016-08-31,0,"Wed","8",2016,"35","summer"
"245",2016-09-01,0,"Thu","9",2016,"35","winter"
"246",2016-09-02,0,"Fri","9",2016,"36","winter"
"247",2016-09-03,1,"Sat","9",2016,"36","winter"
"248",2016-09-04,0,"Sun","9",2016,"36","winter"
"249",2016-09-05,1,"Mon","9",2016,"36","winter"
"250",2016-09-06,0,"Tue","9",2016,"36","winter"
"251",2016-09-07,0,"Wed","9",2016,"36","winter"
"252",2016-09-08,0,"Thu","9",2016,"36","winter"
"253",2016-09-09,2,"Fri","9",2016,"37","winter"
"254",2016-09-10,0,"Sat","9",2016,"37","winter"
"255",2016-09-11,2,"Sun","9",2016,"37","winter"
"256",2016-09-12,0,"Mon","9",2016,"37","winter"
"257",2016-09-13,0,"Tue","9",2016,"37","winter"
"258",2016-09-14,1,"Wed","9",2016,"37","winter"
"259",2016-09-15,0,"Thu","9",2016,"37","winter"
"260",2016-09-16,1,"Fri","9",2016,"38","winter"
"261",2016-09-17,0,"Sat","9",2016,"38","winter"
